(208, 195, 252)
(209, 195, 252)
(208, 195, 252)
(208, 195, 252)
(209, 195, 252)
(209, 195, 252)
(208, 195, 252)
(208, 195, 252)
(208, 195, 252)
(207, 195, 252)
(207, 195, 252)
(207, 195, 252)
(207, 195, 252)
(207, 195, 252)
(206, 195, 252)
(206, 195, 252)
(206, 195, 252)
(206, 195, 252)
(206, 195, 252)
(206, 195, 252)
(206, 195, 252)
(206, 195, 252)
(205, 195, 252)
(205, 195, 252)
(205, 195, 252)
(205, 196, 252)
(204, 195, 252)
(204, 195, 252)
(203, 195, 252)
(203, 195, 252)
(203, 195, 252)
(203, 195, 252)
(203, 195, 252)
(203, 195, 252)
(202, 195, 252)
(202, 196, 252)
(201, 195, 252)
(201, 195, 252)
(201, 195, 252)
(201, 196, 252)
(201, 195, 252)
(200, 195, 252)
(200, 195, 252)
(199, 195, 252)
(199, 195, 252)
(199, 196, 252)
(198, 196, 252)
(199, 195, 252)
(198, 196, 252)
(199, 195, 252)
(198, 195, 252)
(197, 196, 252)
(197, 195, 252)
(197, 195, 252)
(196, 195, 252)
(196, 195, 252)
(196, 195, 252)
(196, 195, 252)
(195, 195, 252)
(195, 195, 252)
(195, 195, 252)
(195, 195, 252)
(195, 195, 252)
(194, 196, 252)
(194, 195, 252)
(193, 195, 252)
(193, 195, 252)
(193, 195, 252)
(193, 195, 252)
(192, 195, 252)
(192, 196, 252)
(191, 196, 252)
(191, 195, 252)
(191, 196, 252)
(191, 196, 252)
(190, 195, 252)
(190, 196, 252)
(189, 195, 252)
(189, 195, 252)
(189, 196, 252)
(188, 196, 252)
(189, 195, 252)
(188, 195, 252)
(188, 195, 252)
(188, 195, 252)
(187, 196, 252)
(187, 196, 252)
(186, 195, 252)
(185, 196, 252)
(186, 195, 252)
(185, 196, 252)
(185, 196, 252)
(184, 195, 252)
(184, 195, 252)
(184, 196, 252)
(184, 196, 252)
(183, 195, 252)
(183, 196, 252)
(183, 196, 252)
(182, 195, 252)
(182, 196, 252)
(182, 195, 252)
(181, 196, 252)
(181, 195, 252)
(180, 196, 252)
(180, 196, 252)
(180, 195, 252)
(180, 195, 252)
(179, 195, 252)
(178, 195, 252)
(178, 195, 252)
(178, 196, 252)
(177, 195, 252)
(178, 196, 252)
(177, 195, 252)
(176, 195, 252)
(177, 196, 252)
(177, 195, 252)
(176, 195, 252)
(175, 196, 252)
(175, 195, 252)
(175, 196, 252)
(174, 196, 251)
(174, 195, 252)
(174, 196, 252)
(174, 195, 252)
(173, 196, 252)
(173, 195, 252)
(172, 196, 252)
(173, 196, 252)
(172, 196, 252)
(171, 196, 252)
(171, 196, 252)
(171, 195, 252)
(171, 196, 252)
(170, 196, 252)
(170, 196, 252)
(170, 196, 252)
(169, 195, 252)
(169, 196, 252)
(169, 196, 252)
(169, 196, 252)
(168, 196, 252)
(168, 196, 252)
(168, 195, 252)
(167, 196, 252)
(167, 196, 252)
(167, 196, 252)
(167, 196, 252)
(166, 196, 252)
(166, 196, 252)
(165, 196, 252)
(165, 196, 252)
(165, 196, 252)
(164, 196, 252)
(164, 196, 252)
(164, 196, 252)
(164, 196, 252)
(164, 196, 252)
(163, 196, 252)
(163, 195, 252)
(163, 196, 252)
(162, 195, 252)
(162, 196, 252)
(162, 196, 252)
(162, 196, 252)
(161, 196, 252)
(161, 196, 252)
(161, 196, 252)
(161, 196, 252)
(161, 196, 252)
(160, 196, 252)
(160, 196, 252)
(160, 196, 252)
(160, 196, 252)
(160, 196, 252)
(159, 196, 252)
(159, 195, 252)
(159, 196, 252)
(159, 196, 252)
(158, 196, 252)
(158, 196, 252)
(158, 196, 252)
(158, 196, 252)
(158, 196, 252)
(158, 196, 252)
(157, 196, 252)
(157, 196, 252)
(157, 196, 252)
(156, 196, 252)
(157, 196, 252)
(156, 196, 252)
(156, 196, 252)
(156, 196, 252)
(156, 196, 252)
(156, 196, 252)
(156, 195, 252)
(155, 196, 252)
(155, 196, 252)
(155, 196, 252)
(155, 196, 252)
(156, 196, 252)
(156, 197, 251)
(155, 196, 251)
(156, 197, 251)
(156, 197, 251)
(157, 197, 250)
(157, 197, 250)
(156, 197, 250)
(157, 197, 249)
(157, 197, 249)
(158, 198, 249)
(158, 198, 249)
(158, 198, 248)
(158, 198, 248)
(158, 199, 248)
(159, 199, 247)
(159, 199, 247)
(160, 199, 247)
(159, 199, 247)
(160, 200, 246)
(160, 200, 245)
(160, 200, 245)
(161, 200, 245)
(161, 200, 245)
(162, 201, 244)
(162, 201, 243)
(162, 202, 243)
(163, 201, 243)
(163, 201, 242)
(163, 202, 242)
(164, 202, 241)
(164, 202, 241)
(164, 203, 241)
(164, 203, 240)
(165, 203, 239)
(165, 203, 239)
(166, 204, 238)
(166, 204, 238)
(166, 205, 238)
(167, 205, 237)
(168, 205, 236)
(168, 205, 236)
(168, 206, 235)
(168, 205, 235)
(169, 206, 235)
(169, 206, 235)
(169, 206, 234)
(170, 207, 233)
(170, 207, 233)
(171, 207, 232)
(171, 208, 231)
(172, 208, 231)
(172, 208, 230)
(172, 208, 231)
(173, 209, 229)
(173, 209, 229)
(174, 210, 228)
(174, 210, 228)
(175, 210, 227)
(175, 210, 227)
(175, 211, 226)
(175, 211, 225)
(176, 211, 225)
(176, 212, 225)
(177, 212, 224)
